r0,r1,t0,t1,vol
3.07895,3.69474,0.72,1.08,4.7175
3.07895,3.69474,1.08,1.44,4.7175
3.07895,3.69474,1.44,1.8,4.7175
2.46316,3.07895,0,0.36,3.8598
2.46316,3.07895,0.36,0.72,3.8598
2.46316,3.07895,0.72,1.08,3.8598
2.46316,3.07895,1.08,1.44,3.8598
2.46316,3.07895,1.44,1.8,3.8598
1.8474,2.46316,0,0.36,3.0021
1.8474,2.46316,0.36,0.72,3.0021
1.8474,2.46316,0.72,1.08,3.0021
1.8474,2.46316,1.08,1.44,3.0021
1.8474,2.46316,1.44,1.8,3.0021
1.23158,1.84737,0,0.36,2.1443
1.23158,1.84737,0.36,0.72,2.1443
1.23158,1.84737,0.72,1.08,2.1443
1.23158,1.84737,1.08,1.44,2.1443
1.23158,1.84737,1.44,1.8,2.1443
0.615789,1.23158,0,0.36,1.2866
0.615789,1.23158,0.36,0.72,1.2866
0.615789,1.23158,0.72,1.08,1.2866
0.615789,1.23158,1.08,1.44,1.2866
0.615789,1.23158,1.44,1.8,1.2866
0,0.615789,0,0.36,0.4289
0,0.615789,0.36,0.72,0.4289
0,0.615789,0.72,1.08,0.4289
0,0.615789,1.08,1.44,0.4289
0,0.615789,1.44,1.8,0.4289
25.2,25.8,0,0.36,34.6077846719452
25.2,25.8,0.36,0.72,34.6077846719452
25.2,25.8,0.72,1.08,34.6077846719452
25.2,25.8,1.08,1.44,34.6077846719452
25.2,25.8,1.44,1.8,34.6077846719452
24.6,25.2,0,0.36,33.7934838561346
24.6,25.2,0.36,0.72,33.7934838561346
24.6,25.2,0.72,1.08,33.7934838561346
24.6,25.2,1.08,1.44,33.7934838561345
24.6,25.2,1.44,1.8,33.7934838561346
24,24.6,0,0.36,32.9791830403243
24,24.6,0.36,0.72,32.9791830403243
24,24.6,0.72,1.08,32.9791830403243
24,24.6,1.08,1.44,32.9791830403243
24,24.6,1.44,1.8,32.9791830403243
23.4,24,0,0.36,32.1648822245138
23.4,24,0.36,0.72,32.1648822245138
23.4,24,0.72,1.08,32.1648822245138
23.4,24,1.08,1.44,32.1648822245138
23.4,24,1.44,1.8,32.1648822245138
