Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,778,25.0875,0.5625,0,25.0938,13001,,,,,,
block_2,777,25.0875,0.50625,0,25.0926,13000,,,,,,
block_2,730,25.0875,0.45,0,25.0915,12966,,,,,,
block_2,729,25.0875,0.39375,0,25.0906,12965,,,,,,
block_2,726,25.0875,0.3375,0,25.0898,12963,,,,,,
block_2,725,25.0875,0.28125,0,25.0891,12962,,,,,,
block_2,714,25.0875,0.225,0,25.0885,12954,,,,,,
block_2,713,25.0875,0.16875,0,25.0881,12953,,,,,,
block_2,709,25.0875,0.1125,0,25.0878,12951,,,,,,
block_2,707,25.0875,0.05625,0,25.0876,12949,,,,,,
block_2,708,25.0875,0,0,25.0875,12950,,,,,,
block_2,1048,25.025,1.8,0,25.0897,3410,,,,,,
block_2,1047,25.025,1.74375,0,25.0857,13203,,,,,,
block_2,1044,25.025,1.6875,0,25.0818,3409,,,,,,
block_2,1043,25.025,1.63125,0,25.0781,13200,,,,,,
block_2,1032,25.025,1.575,0,25.0745,3407,,,,,,
block_2,1031,25.025,1.51875,0,25.071,13191,,,,,,
block_2,1028,25.025,1.4625,0,25.0677,3406,,,,,,
block_2,1027,25.025,1.40625,0,25.0645,13188,,,,,,
block_2,984,25.025,1.35,0,25.0614,3398,,,,,,
block_2,983,25.025,1.29375,0,25.0584,13155,,,,,,
block_2,980,25.025,1.2375,0,25.0556,3397,,,,,,
block_2,979,25.025,1.18125,0,25.0529,13152,,,,,,
block_2,968,25.025,1.125,0,25.0503,3395,,,,,,
block_2,967,25.025,1.06875,0,25.0478,13143,,,,,,
block_2,964,25.025,1.0125,0,25.0455,3394,,,,,,
block_2,963,25.025,0.95625,0,25.0433,13140,,,,,,
block_2,792,25.025,0.9,0,25.0412,3362,,,,,,
block_2,791,25.025,0.84375,0,25.0392,13011,,,,,,
block_2,788,25.025,0.7875,0,25.0374,3361,,,,,,
block_2,787,25.025,0.73125,0,25.0357,13008,,,,,,
block_2,776,25.025,0.675,0,25.0341,3359,,,,,,
block_2,775,25.025,0.61875,0,25.0326,12999,,,,,,
block_2,772,25.025,0.5625,0,25.0313,3358,,,,,,
block_2,771,25.025,0.50625,0,25.0301,12996,,,,,,
block_2,724,25.025,0.45,0,25.029,3349,,,,,,
